method,schema_A,schema_B,top_k_table,top_k,matches,recall,mrr,map
LSH,SAKILA,OC_MYSQL,3) ser_magneto,2,140,0.717948717948718,0.09937499851440854,0.625
LSH,SAKILA,OC_MYSQL,3) ser_magneto,3,210,0.8205128205128205,0.08805930149625235,0.6638888888888889
LSH,SAKILA,OC_MYSQL,3) ser_magneto,5,350,0.8717948717948718,0.08286646175289998,0.6805555555555555
LSH,SAKILA,OC_MYSQL,3) ser_magneto,10,700,0.9743589743589743,0.07430935135253817,0.6984126984126984
LSH,SAKILA,OC_MYSQL,3) ser_magneto,20,1400,1.0,0.07236843026329429,0.7007936507936509
LSH,SAKILA,OC_MYSQL,1) ser_schema,1,70,0.4358974358974359,0.19252768731096903,0.4666666666666667
LSH,SAKILA,OC_MYSQL,1) ser_schema,2,140,0.6410256410256411,0.14040498830314815,0.6
LSH,SAKILA,OC_MYSQL,1) ser_schema,3,210,0.7692307692307693,0.11794538307731024,0.6499999999999999
LSH,SAKILA,OC_MYSQL,1) ser_schema,5,350,0.8717948717948718,0.10484729659840794,0.6741666666666666
LSH,SAKILA,OC_MYSQL,1) ser_schema,10,700,0.9743589743589743,0.09379162786012019,0.691984126984127
LSH,SAKILA,OC_MYSQL,1) ser_schema,20,1400,1.0,0.09124428459559568,0.6940674603174604
LSH,SAKILA,OC_MYSQL,2) ser_values,1,70,0.5128205128205128,0.16948632795652924,0.5666666666666667
LSH,SAKILA,OC_MYSQL,2) ser_values,2,140,0.717948717948718,0.127957635412007,0.6833333333333333
LSH,SAKILA,OC_MYSQL,2) ser_values,3,210,0.8205128205128205,0.11193878730832857,0.7277777777777777
LSH,SAKILA,OC_MYSQL,2) ser_values,5,350,0.8717948717948718,0.10499781145158361,0.738611111111111
LSH,SAKILA,OC_MYSQL,2) ser_values,10,700,0.9743589743589743,0.093792557988483,0.7558730158730158
LSH,SAKILA,OC_MYSQL,2) ser_values,20,1400,1.0,0.09142626373056478,0.7584371184371185
LSH,SAKILA,OC_MYSQL,4) ser_reference,1,70,0.4358974358974359,0.18627554466096713,0.45
LSH,SAKILA,OC_MYSQL,4) ser_reference,2,140,0.6153846153846154,0.13902285857983632,0.5666666666666667
LSH,SAKILA,OC_MYSQL,4) ser_reference,3,210,0.717948717948718,0.12172033814173246,0.611111111111111
LSH,SAKILA,OC_MYSQL,4) ser_reference,5,350,0.7948717948717948,0.10940099322663845,0.6319444444444444
LSH,SAKILA,OC_MYSQL,4) ser_reference,10,700,0.9230769230769231,0.09426028866347197,0.6535052910052911
LSH,SAKILA,OC_MYSQL,4) ser_reference,20,1400,1.0,0.08710449284893021,0.6615355940355941
LSH,OC_ORACLE,TPCH_SF1,3) ser_magneto,1,43,0.32,0.15064935064935064,0.34782608695652173
LSH,OC_ORACLE,TPCH_SF1,3) ser_magneto,2,86,0.44,0.12995906267645396,0.391304347826087
LSH,OC_ORACLE,TPCH_SF1,3) ser_magneto,3,129,0.52,0.11130289760097452,0.42028985507246375
LSH,OC_ORACLE,TPCH_SF1,3) ser_magneto,5,215,0.8,0.07643174422264923,0.49202898550724644
LSH,OC_ORACLE,TPCH_SF1,3) ser_magneto,10,430,0.96,0.06367813518737668,0.5151483781918565
LSH,OC_ORACLE,TPCH_SF1,3) ser_magneto,20,860,1.0,0.06114352616771997,0.5175638371290546
LSH,OC_ORACLE,TPCH_SF1,1) ser_schema,1,43,0.36,0.2939393939393939,0.3695652173913043
LSH,OC_ORACLE,TPCH_SF1,1) ser_schema,2,86,0.48,0.22465592681969002,0.42391304347826086
LSH,OC_ORACLE,TPCH_SF1,1) ser_schema,3,129,0.6,0.1810473182177396,0.4673913043478261
LSH,OC_ORACLE,TPCH_SF1,1) ser_schema,5,215,0.8,0.13679291895445525,0.5195652173913043
LSH,OC_ORACLE,TPCH_SF1,1) ser_schema,10,430,0.88,0.12421874379266186,0.5322463768115943
LSH,OC_ORACLE,TPCH_SF1,1) ser_schema,20,860,1.0,0.1094721712893298,0.5407237086584913
LSH,OC_ORACLE,TPCH_SF1,2) ser_values,1,43,0.36,0.26185388685388683,0.391304347826087
LSH,OC_ORACLE,TPCH_SF1,2) ser_values,2,86,0.48,0.20152894662489618,0.43478260869565216
LSH,OC_ORACLE,TPCH_SF1,2) ser_values,3,129,0.56,0.17180103569468835,0.46376811594202894
LSH,OC_ORACLE,TPCH_SF1,2) ser_values,5,215,0.72,0.1353861279234424,0.5028985507246376
LSH,OC_ORACLE,TPCH_SF1,2) ser_values,10,430,0.92,0.10656510381716477,0.5317460317460317
LSH,OC_ORACLE,TPCH_SF1,2) ser_values,20,860,1.0,0.09806124704898433,0.5370600414078676
LSH,OC_ORACLE,TPCH_SF1,4) ser_reference,1,43,0.32,0.2998015873015873,0.32608695652173914
LSH,OC_ORACLE,TPCH_SF1,4) ser_reference,2,86,0.56,0.1876920941552745,0.44565217391304346
LSH,OC_ORACLE,TPCH_SF1,4) ser_reference,3,129,0.6,0.17107793701154847,0.4601449275362318
LSH,OC_ORACLE,TPCH_SF1,4) ser_reference,5,215,0.68,0.1490057801249618,0.48188405797101447
LSH,OC_ORACLE,TPCH_SF1,4) ser_reference,10,430,0.84,0.12042746716977534,0.5074189095928225
LSH,OC_ORACLE,TPCH_SF1,4) ser_reference,20,860,0.92,0.10993082930918092,0.5139406487232573
LSH,OC_MYSQL,TPCH_SF1,3) ser_magneto,1,59,0.5,0.17154078809045967,0.5172413793103449
LSH,OC_MYSQL,TPCH_SF1,3) ser_magneto,2,118,0.6333333333333333,0.13182266122956196,0.5862068965517241
LSH,OC_MYSQL,TPCH_SF1,3) ser_magneto,3,177,0.7333333333333333,0.11521396887951346,0.6149425287356322
LSH,OC_MYSQL,TPCH_SF1,3) ser_magneto,5,295,0.9,0.09380903760865263,0.6580459770114943
LSH,OC_MYSQL,TPCH_SF1,3) ser_magneto,10,590,0.9666666666666667,0.0869016750509366,0.6695402298850575
LSH,OC_MYSQL,TPCH_SF1,3) ser_magneto,20,1180,1.0,0.08402287979802085,0.6718390804597701
LSH,OC_MYSQL,TPCH_SF1,1) ser_schema,1,59,0.6,0.18576098037482475,0.603448275862069
LSH,OC_MYSQL,TPCH_SF1,1) ser_schema,2,118,0.7,0.15793497165850473,0.6551724137931034
LSH,OC_MYSQL,TPCH_SF1,1) ser_schema,3,177,0.8,0.13839057094053223,0.6896551724137931
LSH,OC_MYSQL,TPCH_SF1,1) ser_schema,5,295,0.9,0.12349493721851233,0.7120689655172413
LSH,OC_MYSQL,TPCH_SF1,1) ser_schema,10,590,0.9333333333333333,0.11888426512343298,0.7169950738916255
LSH,OC_MYSQL,TPCH_SF1,1) ser_schema,20,1180,0.9666666666666667,0.11481042935535966,0.7201298701298701
LSH,OC_MYSQL,TPCH_SF1,2) ser_values,1,59,0.5333333333333333,0.18050669261338598,0.5517241379310345
LSH,OC_MYSQL,TPCH_SF1,2) ser_values,2,118,0.6666666666666666,0.1452141399014764,0.6206896551724138
LSH,OC_MYSQL,TPCH_SF1,2) ser_values,3,177,0.7666666666666667,0.12705527878693498,0.6551724137931033
LSH,OC_MYSQL,TPCH_SF1,2) ser_values,5,295,0.9,0.10905777525242762,0.6818965517241379
LSH,OC_MYSQL,TPCH_SF1,2) ser_values,10,590,0.9666666666666667,0.10164702148459727,0.6914750957854404
LSH,OC_MYSQL,TPCH_SF1,2) ser_values,20,1180,1.0,0.09827573992631737,0.6935034933513635
LSH,OC_MYSQL,TPCH_SF1,4) ser_reference,1,59,0.43333333333333335,0.21095824541820998,0.4482758620689655
LSH,OC_MYSQL,TPCH_SF1,4) ser_reference,2,118,0.7,0.13769432167947593,0.5862068965517241
LSH,OC_MYSQL,TPCH_SF1,4) ser_reference,3,177,0.8,0.12117041960584146,0.6206896551724138
LSH,OC_MYSQL,TPCH_SF1,4) ser_reference,5,295,0.8,0.12068838844082848,0.6206896551724138
LSH,OC_MYSQL,TPCH_SF1,4) ser_reference,10,590,0.8333333333333334,0.11587669776898726,0.6224137931034481
LSH,OC_MYSQL,TPCH_SF1,4) ser_reference,20,1180,0.9333333333333333,0.10364963759112768,0.630146290491118
LSH,SAKILA,TPCH_SF1,3) ser_magneto,1,70,0.35294117647058826,0.2217124837551667,0.3541666666666667
LSH,SAKILA,TPCH_SF1,3) ser_magneto,2,140,0.5588235294117647,0.15634997454047994,0.5
LSH,SAKILA,TPCH_SF1,3) ser_magneto,3,210,0.5882352941176471,0.14835539368715706,0.5138888888888888
LSH,SAKILA,TPCH_SF1,3) ser_magneto,5,350,0.8235294117647058,0.10747241598585679,0.5753472222222222
LSH,SAKILA,TPCH_SF1,3) ser_magneto,10,700,0.9411764705882353,0.09414679772714626,0.5980324074074074
LSH,SAKILA,TPCH_SF1,3) ser_magneto,20,1400,1.0,0.08863432937411497,0.6050254144004145
LSH,SAKILA,TPCH_SF1,1) ser_schema,1,70,0.4411764705882353,0.20158400795688927,0.5208333333333334
LSH,SAKILA,TPCH_SF1,1) ser_schema,2,140,0.6176470588235294,0.15254834752201435,0.6354166666666666
LSH,SAKILA,TPCH_SF1,1) ser_schema,3,210,0.7352941176470589,0.126584539416477,0.6701388888888888
LSH,SAKILA,TPCH_SF1,1) ser_schema,5,350,0.8529411764705882,0.10890476110444182,0.7045138888888888
LSH,SAKILA,TPCH_SF1,1) ser_schema,10,700,0.9411764705882353,0.09837558426102289,0.7197255291005291
LSH,SAKILA,TPCH_SF1,1) ser_schema,20,1400,1.0,0.0924535456660437,0.7250139906389906
LSH,SAKILA,TPCH_SF1,2) ser_values,1,70,0.4411764705882353,0.1969384349223059,0.5
LSH,SAKILA,TPCH_SF1,2) ser_values,2,140,0.6176470588235294,0.14563314755138485,0.625
LSH,SAKILA,TPCH_SF1,2) ser_values,3,210,0.7352941176470589,0.12189334288819348,0.6666666666666666
LSH,SAKILA,TPCH_SF1,2) ser_values,5,350,0.7941176470588235,0.11222207099866181,0.6822916666666666
LSH,SAKILA,TPCH_SF1,2) ser_values,10,700,0.9117647058823529,0.09780236333551515,0.7032903439153438
LSH,SAKILA,TPCH_SF1,2) ser_values,20,1400,0.9705882352941176,0.09188505755771739,0.7096823893698895
LSH,SAKILA,TPCH_SF1,4) ser_reference,1,70,0.2647058823529412,0.2415480512830743,0.2916666666666667
LSH,SAKILA,TPCH_SF1,4) ser_reference,2,140,0.5588235294117647,0.14697502494720166,0.46875
LSH,SAKILA,TPCH_SF1,4) ser_reference,3,210,0.6176470588235294,0.13214396191712552,0.49652777777777773
LSH,SAKILA,TPCH_SF1,4) ser_reference,5,350,0.7647058823529411,0.10758356147883807,0.5309027777777778
LSH,SAKILA,TPCH_SF1,4) ser_reference,10,700,0.8823529411764706,0.09312371182722763,0.5512731481481481
LSH,SAKILA,TPCH_SF1,4) ser_reference,20,1400,0.9411764705882353,0.08725469699816163,0.5565641534391533
LSH,OC_ORACLE,SAKILA,3) ser_magneto,1,43,0.25,0.2715201465201465,0.2843137254901961
LSH,OC_ORACLE,SAKILA,3) ser_magneto,2,86,0.4642857142857143,0.17041945269119635,0.4509803921568627
LSH,OC_ORACLE,SAKILA,3) ser_magneto,3,129,0.7142857142857143,0.11404815755577824,0.5588235294117647
LSH,OC_ORACLE,SAKILA,3) ser_magneto,5,215,0.8214285714285714,0.0991595115320584,0.5911764705882352
LSH,OC_ORACLE,SAKILA,3) ser_magneto,10,430,0.9285714285714286,0.08654877480002665,0.5853408029878618
LSH,OC_ORACLE,SAKILA,3) ser_magneto,20,860,1.0,0.08078738201656718,0.6330000580774575
LSH,OC_ORACLE,SAKILA,1) ser_schema,1,43,0.2857142857142857,0.3063956876456876,0.34313725490196084
LSH,OC_ORACLE,SAKILA,1) ser_schema,2,86,0.4642857142857143,0.21224295635413926,0.4509803921568627
LSH,OC_ORACLE,SAKILA,1) ser_schema,3,129,0.6071428571428571,0.16916293436939994,0.5098039215686274
LSH,OC_ORACLE,SAKILA,1) ser_schema,5,215,0.7857142857142857,0.133277035762338,0.5686274509803921
LSH,OC_ORACLE,SAKILA,1) ser_schema,10,430,0.9285714285714286,0.1133290873863945,0.6008870214752567
LSH,OC_ORACLE,SAKILA,1) ser_schema,20,860,1.0,0.10540610639841122,0.6115822086410322
LSH,OC_ORACLE,SAKILA,2) ser_values,1,43,0.2857142857142857,0.29757834757834756,0.34313725490196084
LSH,OC_ORACLE,SAKILA,2) ser_values,2,86,0.6071428571428571,0.16377951781282715,0.5686274509803921
LSH,OC_ORACLE,SAKILA,2) ser_values,3,129,0.6785714285714286,0.1469994580785048,0.5980392156862745
LSH,OC_ORACLE,SAKILA,2) ser_values,5,215,0.7857142857142857,0.12751426620081469,0.626470588235294
LSH,OC_ORACLE,SAKILA,2) ser_values,10,430,0.9642857142857143,0.10430562269665675,0.6612122626828509
LSH,OC_ORACLE,SAKILA,2) ser_values,20,860,1.0,0.10040951371439086,0.6644802365390601
LSH,OC_ORACLE,SAKILA,4) ser_reference,1,43,0.32142857142857145,0.1866133866133866,0.4019607843137255
LSH,OC_ORACLE,SAKILA,4) ser_reference,2,86,0.5,0.13716720996527657,0.5098039215686274
LSH,OC_ORACLE,SAKILA,4) ser_reference,3,129,0.6071428571428571,0.11297336690682525,0.5686274509803921
LSH,OC_ORACLE,SAKILA,4) ser_reference,5,215,0.6785714285714286,0.1003925595331319,0.5906862745098039
LSH,OC_ORACLE,SAKILA,4) ser_reference,10,430,0.8571428571428571,0.08009212001594357,0.6213935574229691
LSH,OC_ORACLE,SAKILA,4) ser_reference,20,860,1.0,0.06887883978111657,0.6359648761465371
LSH,OC_MYSQL,SAKILA,3) ser_magneto,1,59,0.46153846153846156,0.15348494286193784,0.46153846153846156
LSH,OC_MYSQL,SAKILA,3) ser_magneto,2,118,0.6153846153846154,0.11427104209027518,0.5384615384615384
LSH,OC_MYSQL,SAKILA,3) ser_magneto,3,177,0.7948717948717948,0.09198876075947127,0.5982905982905983
